Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Construction Works,Capital Outlay on Defence Services,"Aggregate construction projects across Army, Navy, Air Force including infrastructure units.",https://www.myscheme.gov.in,none,none,any,any,null,MoD/ Army/ Navy/ Air Force Engineering Wings,any,any,any,Central,none,any,any,Tri-services engineering departments for defense infrastructure works.
Investment in Public Enterprises,Capital Outlay on Defence Services,"Capital infusion into Defence PSUs to support infrastructure, manufacturing, or expansion.",https://www.myscheme.gov.in,none,none,any,any,null,Defence Public Sector Undertakings,any,any,any,Central,none,any,any,DPSUs receiving investment based on MoD planning.
Projects of the Army,Capital Outlay on Defence Services,Army-specific capital projects approved in annual defense budgets.,https://www.myscheme.gov.in,none,none,any,any,null,Indian Army,any,any,any,Central,none,any,any,Army HQ or commands executing defense infrastructure or procurement projects.
Projects of the Air Force,Capital Outlay on Defence Services,Capital works and acquisitions initiated by the Indian Air Force.,https://www.myscheme.gov.in,none,none,any,any,null,Indian Air Force,any,any,any,Central,none,any,any,Air Force headquarters or bases managing capital allocations.
north East Special Infrastructure Development scheme (NESIDS),Ministry of Development of north Eastern Region,Develops infrastructure in sectors not covered under existing CSS for NE.,https://www.myscheme.gov.in,none,none,any,any,null,state Government Department,any,any,any,"Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura",none,any,any,NE state govts implementing projects in underdeveloped or deprived areas.
north East Enterprise Development scheme (NEEDS),Ministry of Development of north Eastern Region,Credit-linked scheme to promote entrepreneurship in NE youth and startups.,https://www.myscheme.gov.in,none,none,any,any,null,Youth/ Entrepreneur/ startup/ MSME,any,any,any,north Eastern states,12th Pass,any,any,"NE youth, startups, and MSMEs fulfilling scheme eligibility and project criteria."
Special Development Packages,Ministry of Development of north Eastern Region,Provides targeted development funding to address state/district-specific needs in NE.,https://www.myscheme.gov.in,none,none,any,any,null,state Department,any,any,any,north Eastern states,none,any,any,Deprived NE districts/states identified for need-based interventions.
Prime Minister's Development Initiative for north East Region (PM-DevINE),Ministry of Development of north Eastern Region,"Flagship initiative for NE region’s inclusive development in infra, livelihoods, and governance.",https://www.myscheme.gov.in,none,none,any,any,null,NGO/ state Government/ Ministry,any,any,any,north Eastern states,none,any,any,Implemented by Ministries/NGOs in all 8 NE states for development and job creation.
"Ocean Services, Modelling, Application, Resources and Technology (O-SMART)",Ministry of Earth sciences,"Enhances ocean science capabilities, marine forecasting, and exploration through research and modeling.",https://www.myscheme.gov.in,none,none,any,any,null,Research Institution/ Coastal Authority/ Marine Org,any,any,any,Coastal states + Islands,Graduate+,any,any,Institutions and stakeholders in marine ecosystem development and forecasting.
Polar science and Cryosphere (PACER),Ministry of Earth sciences,"Conducts polar research, expeditions to Antarctica/Arctic, and cryosphere monitoring.",https://www.myscheme.gov.in,none,none,any,any,null,NCPOR/ scientist/ Researcher,any,any,any,Central,Graduate+,any,any,Researchers from NCPOR or polar science fields participating in national expeditions and monitoring.
Seismological and Geoscience (SAGE),Ministry of Earth sciences,"Advances seismic monitoring, early-warning systems, and geoscientific research.",https://www.myscheme.gov.in,none,none,any,any,null,Geologist/ Seismologist/ Research Institute,any,any,any,Central,Graduate+,any,any,"Geological institutes, national seismology units, and academic researchers."
"Research, Education and Training Outreach (REACHOUT)",Ministry of Earth sciences,"Supports capacity building in Earth sciences via training, education, and outreach programs.",https://www.myscheme.gov.in,none,none,any,any,null,Academic Institution/ Researcher/ Educator,any,any,any,Central,Graduate+,any,any,Training institutes and Earth science researchers and educators.
Deep Ocean Mission (DOM),Ministry of Earth sciences,"Explores deep sea ecosystems, subsea mining, and marine tech development through a multi-agency collaboration.",https://www.myscheme.gov.in,none,none,any,any,null,Research Agency/ Marine scientist/ University,any,any,any,Coastal states + Islands,Graduate+,any,any,National-level marine and deep-ocean research stakeholders and scientists.
Mission Mausam,Ministry of Earth sciences,Documents India’s ancient monsoon and maritime history in collaboration with Ministry of Culture.,https://www.myscheme.gov.in,none,none,any,any,null,researcher/historian/academic institution,any,any,any,any,any,any,any,"Applicable to researchers, historians, or institutions working on maritime or monsoon heritage."
Prithvi Vigyan (PRITHVI),Ministry of Earth sciences,"Umbrella program integrating all atmospheric, ocean, and earth system science initiatives under MoES.",https://www.myscheme.gov.in,none,none,any,any,null,MoES Institution/ Academic/ Researcher,any,any,any,Central,Graduate+,any,any,scientists and researchers in MoES institutions or government-supported Earth system programs.
Pradhan Mantri Innovative Learning Programme (DHRUV),Department of school Education and Literacy,"Talent development for exceptional students in science, arts, and culture.",https://www.myscheme.gov.in,13,none,any,any,null,student,any,any,any,Central,9th–12th Class,any,any,Exceptionally talented students from class 9–12 selected by national panels.
National Means-cum-Merit scholarship scheme (NMMSS),Department of school Education and Literacy,scholarships to reduce dropouts among meritorious students from weaker sections.,https://www.myscheme.gov.in,13,none,any,any,Above ₹1 Lakh,student,any,any,any,Central,9th standard,any,any,students entering class 9 with ≥55% in class 8 and income ≤ ₹1.5 lakh/yr.
World Class Institutions scheme,Department of Higher Education,Supports Indian institutions to attain world-class standards in academics and research.,https://www.myscheme.gov.in,none,none,any,any,null,Higher Education Institution,any,any,any,Central,Graduate+,any,any,Institutions designated as 'Institutes of Eminence' by Ministry of Education.
Prime Minister's Girls’ Hostel scheme,Department of Higher Education,Financial aid for girl hostels in HEIs to improve access to higher education.,https://www.myscheme.gov.in,none,none,female,any,null,Govt College/University Admin,any,any,any,Central,Graduate+,any,any,Colleges/universities with high girl enrollment eligible for infrastructure grants.
Glue Grant scheme for Higher Educational Institutes,Department of Higher Education,Funds clusters of HEIs to implement multidisciplinary education and research under NEP 2020.,https://www.myscheme.gov.in,none,none,any,any,null,Higher Education Institution,any,any,any,Central,Graduate+,any,any,Centrally funded HEIs selected for cluster-based integration under NEP.
Prime Minister Uchchatar Shiksha Protsahan (PM-USP) Yojana,Department of Higher Education,Provides financial support to meritorious students from economically weaker sections for higher education.,https://www.myscheme.gov.in,17,none,any,any,Above ₹1 Lakh,student,any,any,any,Central,12th Pass,any,any,Undergraduate students from EWS with income below threshold and enrolled in recognised colleges.
Prime Minister’s Research Fellowship (PMRF),Department of Higher Education,"Offers high-value fellowships for pursuing PhD in premier institutions like IITs, IIsc, and NITs.",https://www.myscheme.gov.in,21,none,any,any,null,student / Researcher,any,any,any,Central,Graduate+,any,any,Final year UG/PG students from top institutions with high CGPA + GATE/NET as per PMRF norms.
National Mission on Education through ICT (NMEICT),Department of Higher Education,"Uses digital tools like MOOCs, SWAYAM, and e-content to improve higher education quality across India.",https://www.myscheme.gov.in,none,none,any,any,null,student / Faculty / HEI,any,any,any,Central,12th Pass+,any,any,"All learners and institutions accessing SWAYAM, MOOCs, virtual labs, etc., under the ICT education mission."
Higher Education statistics and Public Information System (HESPIS),Department of Higher Education,"Creates a unified data platform for institutional records, transparency, and planning in higher education.",https://www.myscheme.gov.in,none,none,any,any,null,Higher Education Institution,any,any,any,Central,Graduate+,any,any,HEIs mandated to submit annual academic and operational data under the HESPIS system.
National Initiative for Design Innovation,Department of Higher Education,"Establishes Design Innovation Centres (DICs) to promote design education, research, and innovation.",https://www.myscheme.gov.in,18,none,any,any,null,HEI Faculty / student,any,any,any,Central,Graduate+,any,any,HEIs hosting DICs and participants in design innovation projects.
startup India Initiative in Higher Educational Institutions,Department of Higher Education,"Promotes student entrepreneurship via incubation, mentoring, and funding support.",https://www.myscheme.gov.in,17,none,any,any,null,student / Incubation Cell Member,any,any,any,Central,12th Pass+,any,any,HEIs with innovation/startup cells and students engaged in entrepreneurial activities.
Unnat Bharat Abhiyan,Department of Higher Education,Connects HEIs with rural communities for development projects and sustainable village transformation.,https://www.myscheme.gov.in,21,none,any,any,null,Faculty / student (Registered HEIs),any,any,any,Central,Graduate+,any,any,HEIs registered under UBA portal participating in rural development initiatives.
Impacting Research Innovation and Technology (IMPRINT),Department of Higher Education,Funds research addressing India's critical engineering and societal challenges.,https://www.myscheme.gov.in,18,none,any,any,null,Faculty / Researcher,any,any,any,Central,Postgraduate,any,any,Faculty from CFTIs and partner institutions with approved research in IMPRINT domains.
scheme for Promotion of Academic and Research Collaboration (SPARC),Department of Higher Education,Enables joint research projects between Indian HEIs and global universities to boost innovation and knowledge sharing.,https://www.myscheme.gov.in,25,none,any,any,null,Faculty (Indian HEIs),any,any,any,Central,Postgraduate,any,any,Faculty from Indian HEIs with foreign collaborators from top 500 world universities under approved SPARC proposals.
Multidisciplinary Education and Research Improvement in Technical Education (MERITE),Department of Higher Education,Improves quality and multidisciplinary focus of technical education institutions in India.,https://www.myscheme.gov.in,none,none,any,any,null,Technical Education Institution,any,any,any,Central,Graduate+,any,any,Technical institutions eligible under MERITE programme guidelines.
Malaviya Mission Teacher Training Programme (MMTTP),Department of Higher Education,Enhances teaching standards through advanced faculty training programs.,https://www.myscheme.gov.in,23,none,any,any,null,Faculty Member,any,any,any,Central,Postgraduate,any,any,Faculty members nominated by HEIs for training under designated MMTTP centres.
National Institutional Ranking Framework (NIRF),Department of Higher Education,"Ranks institutions to promote transparency, competitiveness, and quality in higher education.",https://www.myscheme.gov.in,none ,none,any,any,null,HEI Representative,any,any,any,Central,Graduate+,any,any,All HEIs voluntarily participating by submitting institutional data under NIRF parameters.
Global Initiative for Academic Network (GIAN),Department of Higher Education,Invites international faculty to deliver short-term courses in Indian HEIs for global academic exposure.,https://www.myscheme.gov.in,25,none,any,any,null,Faculty / HEI Admin,any,any,any,Central,Postgraduate,any,any,Indian HEIs with approved short-course proposals and invited international faculty under GIAN.
National Apprenticeship Training scheme (NATS),Department of Higher Education,Provides industry apprenticeship training for graduates and diploma holders to boost employability.,https://www.myscheme.gov.in,18,none,any,any,null,Graduate / Diploma Holder / Employer,any,any,any,Central,Graduate/Diploma,any,any,Degree or diploma holders; employers registered on NATS portal for offering apprenticeship training.
ASEAN Fellowship scheme,Department of Higher Education,Offers fellowships to ASEAN nationals to pursue PhDs in Indian institutions to enhance educational and diplomatic ties.,https://www.myscheme.gov.in,22,none,any,any,null,student (ASEAN national),any,any,any,Central,Postgraduate,any,any,students from ASEAN countries meeting Indian host institution criteria for PhD programs.
Centres of Excellence in Artificial Intelligence (AI),Department of Higher Education,"Sets up Centres of Excellence in AI to promote research, innovation, and skills in AI technologies.",https://www.myscheme.gov.in,none,none,any,any,null,HEIs / Research Groups,any,any,any,Central,Graduate+,any,any,Eligible HEIs with approved proposals under AI CoE guidelines by the Ministry.
Education Services – Internationalization of Higher Education,Department of Higher Education,"Supports Indian HEIs in building international collaborations, exchange programs, and global recognition.",https://www.myscheme.gov.in,none,none,any,any,null,HEI Administrator,any,any,any,Central,Graduate+,any,any,Indian HEIs undertaking internationalisation projects as per the Ministry of Education frameworks.
Electronic Governance (e-Governance) Programme,Ministry of Electronics & IT,Implements digital tools and infrastructure in public service delivery to improve governance.,https://www.myscheme.gov.in,none,none,any,any,null,Govt Dept / IT Agency,any,any,any,Central,Graduate+,any,any,Central/state departments and autonomous bodies executing Digital India governance initiatives.
National Knowledge Network (NKN),Ministry of Electronics & IT,Provides high-speed internet connectivity to universities and institutions for seamless knowledge and resource sharing.,https://www.myscheme.gov.in,none,none,any,any,null,University / Research Institution,any,any,any,Central,Graduate+,any,any,Govt-approved academic and research institutions eligible under NKN connectivity framework.
Promotion of IT/ITeS Industries,Ministry of Electronics and IT,"Supports growth of IT and ITES industries through infrastructure development, policy frameworks, and incentive schemes.",https://www.myscheme.gov.in,none,none,any,any,null,IT/ITeS Company / stPI Registered Unit,any,any,any,Central,Graduate+,any,any,IT/ITeS units registered under stPI or notified schemes eligible for support.
Cyber Security Projects,Ministry of Electronics and IT,"strengthens India’s cyber security through funded infrastructure, R&D, capacity-building, and awareness initiatives.",https://www.myscheme.gov.in,none,none,any,any,null,Cyber Agency / Govt / Research Org,any,any,any,Central,Graduate+,any,any,Agencies with approved projects under MeitY’s cybersecurity framework.
Research & Development in IT/Electronics/CCBT,Ministry of Electronics and IT,"Promotes innovation via R&D support in IT, electronics, and high-performance computing technologies through CDAC and partner institutes.",https://www.myscheme.gov.in,none,none,any,any,null,R&D Org / Academic / Industry Consortium,any,any,any,Central,Graduate+,any,any,R&D groups with approved project proposals under MeitY guidelines.
Promotion of Digital Payments,Ministry of Electronics and IT,"Promotes digital payments adoption and infrastructure for secure, easy, and inclusive financial transactions.",https://www.myscheme.gov.in,none,none,any,any,null,Bank / Fintech / Payment Service Provider,any,any,any,Central,Graduate+,any,any,"Banks, PSPs, and fintech firms implementing government-approved digital payment solutions."
Capacity Building and Skill Development scheme,Ministry of Electronics and IT,"Trains individuals in IT, electronics, cyber security, and digital skills to build a future-ready workforce.",https://www.myscheme.gov.in,15,none,any,any,null,student / Trainer / Training Agency,any,any,any,Central,10th or above,any,any,Trainees and institutions selected under national skill-building programs in electronics and IT.
IndiaAI Mission,Ministry of Electronics and IT,"Builds AI compute infrastructure, promotes AI skilling, startups, and establishes Centres of Excellence in AI across India.",https://www.myscheme.gov.in,none,none,any,any,null,Researcher / startup / Academia / Industry,any,any,any,Central,Graduate+,any,any,"Institutions, researchers, startups selected under IndiaAI program are eligible for support."
Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,Ministry of Electronics and IT,Offers incentives for establishing semiconductor and display fabs to strengthen domestic manufacturing ecosystem.,https://www.myscheme.gov.in,none,none,any,any,null,Semiconductor / Display Manufacturer,any,any,any,Central,Graduate+,any,any,Companies submitting eligible project proposals for fabs and design units under the notified scheme.
Production Linked Incentive (PLI) scheme,Ministry of Electronics and IT,"Incentivizes electronics, IT hardware, and semiconductor manufacturing based on production and investment thresholds.",https://www.myscheme.gov.in,none,none,any,any,null,Manufacturer / Industrial Unit,any,any,any,Central,Graduate+,any,any,Companies that meet investment and output targets in sectors covered under the PLI scheme.
Environmental Knowledge and Capacity Building Programme,"Ministry of Environment, Forests and Climate Change","Enhances institutional environmental knowledge and capacity for research, education, and sustainable policy implementation.",https://www.myscheme.gov.in,none,none,any,any,null,NGO / Academic / Research Institution,any,any,any,Central,Graduate+,any,any,"Approved environmental institutions and organizations engaged in research, capacity building and awareness programs."
National Coastal Mission (NCM),"Ministry of Environment, Forests and Climate Change","Focuses on integrated coastal zone management, climate resilience, and ecological restoration for coastal communities.",https://www.myscheme.gov.in,none,none,any,any,null,state Govt / Coastal Authority / NGO,any,any,any,Central,Graduate+,any,any,Coastal states and UTs with approved projects under NCM guidelines and implementing agencies are eligible.
Control of Pollution Programme,"Ministry of Environment, Forests and Climate Change","Supports pollution control through capacity building, abatement projects, regulatory support, and research.",https://www.myscheme.gov.in,none,none,any,any,null,SPCBs / PCCs / Research / Implementing Agency,any,any,any,Central,Graduate+,any,any,"SPCBs, PCCs, research institutions, and other implementing agencies working on pollution-related projects under MoEFCC guidelines."
Aid to Bhutan,Ministry of External Affairs,"Provides development assistance for hydro-power, infrastructure, health, education, etc. under bilateral cooperation with Bhutan.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Bhutan / Project Executing Agencies,any,any,any,Central,any,any,any,Government of Bhutan and mutually approved project authorities.
Aid to Afghanistan,Ministry of External Affairs,"Offers humanitarian aid, education, and development project assistance to Afghanistan.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. Agencies / Humanitarian Partners,any,any,any,Central,any,any,any,Identified development and humanitarian partners under India-Afghanistan bilateral cooperation.
Aid to Bangladesh,Ministry of External Affairs,"Assists infrastructure, cultural, and social development programs in Bangladesh through bilateral support.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Bangladesh / Project Partners,any,any,any,Central,any,any,any,Agencies executing projects approved under the bilateral framework with Bangladesh.
Aid to Nepal,Ministry of External Affairs,"Grants and cooperation for housing, culture, education, and health infrastructure projects in Nepal.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Nepal / Implementing Project Authorities,any,any,any,Central,any,any,any,Projects approved under India-Nepal development cooperation.
Aid to Maldives,Ministry of External Affairs,"Development aid for infrastructure, water, sanitation, capacity building, and public health in Maldives.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Maldives / Project Authorities,any,any,any,Central,any,any,any,Government of Maldives and agencies under bilateral cooperation projects.
Aid to Myanmar,Ministry of External Affairs,"Infrastructure, border area development, and training support in Myanmar under bilateral cooperation.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Myanmar / Implementation Units,any,any,any,Central,any,any,any,Myanmar's government and implementation bodies recognized in India-Myanmar bilateral framework.
Aid to Mongolia,Ministry of External Affairs,"Capacity building, IT infrastructure, and development assistance to Mongolia.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Mongolia / Project Units,any,any,any,Central,any,any,any,Recognized Mongolian institutions and government partners as per bilateral agreement.
Aid to African Countries,Ministry of External Affairs,"Grants, training, and development support through Lines of Credit to African nations.",https://www.myscheme.gov.in,none,none,any,any,null,African Govt. / Bilateral Partners,any,any,any,Central,any,any,any,African institutions under bilateral/multilateral cooperation frameworks with India.
Aid to Eurasian Countries,Ministry of External Affairs,Development grants and capacity building assistance to Eurasian countries.,https://www.myscheme.gov.in,none,none,any,any,null,Eurasian Govt. / Implementation Units,any,any,any,Central,any,any,any,Governments and agencies of Eurasian nations under approved bilateral development cooperation frameworks.
Aid to Other Developing Countries,Ministry of External Affairs,"Financial and technical assistance to developing countries outside South Asia, Africa, or Eurasia.",https://www.myscheme.gov.in,none,none,any,any,null,Governments of eligible developing countries,any,any,any,Central,any,any,any,Governments of developing countries approved under MEA's global development partnership framework.
Disaster Relief,Ministry of External Affairs,Humanitarian aid to foreign countries affected by disasters.,https://www.myscheme.gov.in,none,none,any,any,null,Countries receiving emergency assistance,any,any,any,Central,any,any,any,Aid provided during natural/man-made disasters based on India’s foreign policy decisions.
Chabahar Port Development,Ministry of External Affairs,strategic investment in Iran’s Chabahar Port for regional connectivity.,https://www.myscheme.gov.in,none,none,any,any,null,Chabahar Port Authority/ Govt. bodies,any,any,any,Central,any,any,any,Chabahar Port Authority and partners under India-Iran bilateral cooperation agreements.
Aid to Mauritius,Ministry of External Affairs,"Development cooperation including infrastructure, heritage preservation, and skilling initiatives.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Mauritius / Project Units,any,any,any,Central,any,any,any,Government of Mauritius and agencies implementing bilateral development programs.
Aid to Seychelles,Ministry of External Affairs,"Infrastructure, maritime security, and institutional capacity development support in Seychelles.",https://www.myscheme.gov.in,none,none,any,any,null,Govt. of Seychelles / Bilateral Partners,any,any,any,Central,any,any,any,Seychelles government agencies supported under India-Seychelles bilateral agreements.
Aid for Cultural & Heritage Projects,Ministry of External Affairs,Financial support for restoration and preservation of Indian cultural and heritage sites abroad.,https://www.myscheme.gov.in,none,none,any,any,null,Foreign governments or cultural institutions,any,any,any,Central,any,any,any,Institutions/projects approved for preserving India’s cultural heritage abroad.
National Investment and Infrastructure Fund (NIIF),Department of Economic Affairs,India’s sovereign fund to attract investments into core infrastructure sectors.,https://www.myscheme.gov.in,none,none,any,any,null,NIIF Ltd. and eligible project companies,any,any,any,Central,any,any,any,Projects and companies qualifying under NIIF’s investment framework.
Viability Gap Funding (VGF) scheme,Department of Economic Affairs,Financial support to PPP infrastructure projects lacking financial viability.,https://www.myscheme.gov.in,none,none,any,any,null,PPP project developers,any,any,any,Central,any,any,any,PPP projects approved by DEA under VGF eligibility norms.
Lines of Credit under IDEAS,Department of Economic Affairs,Concessional lines of credit for infrastructure and development in friendly developing countries.,https://www.myscheme.gov.in,none,none,any,any,null,Developing country governments/ institutions,any,any,any,Central,any,any,any,Countries/projects approved under IDEAS and managed via EXIM Bank.
India Infrastructure Project Development Fund (IIPDF),Department of Economic Affairs,"Supports feasibility studies, DPR, and advisory for PPP infrastructure development.",https://www.myscheme.gov.in,none,none,any,any,null,Ministries/ statutory bodies/ PPP developers,any,any,any,Central,any,any,any,Central/state agencies with approved PPP project development activities.
Subscription to Share Capital of National Bank for Agricultural and Rural Development (NABARD),Department of Financial Services,Government equity subscription to enhance NABARD’s capital for financing agricultural and rural development programmes.,https://www.myscheme.gov.in,none,none,any,any,null,NABARD,any,any,any,Central,any,any,any,NABARD as the recipient institution.
Recapitalization of Regional Rural Banks (RRBs),Department of Financial Services,Infuses capital into RRBs to meet regulatory capital requirements and ensure financial stability.,https://www.myscheme.gov.in,none,none,any,any,null,Regional Rural Banks (RRBs),any,any,any,Central,any,any,any,RRBs identified under recapitalisation scheme in coordination with sponsor banks & NABARD.
Equity Support to Industrial Finance Corporation of India (IFCI),Department of Financial Services,Provides equity support to IFCI for strengthening its financial position and developmental financing role.,https://www.myscheme.gov.in,none,none,any,any,null,IFCI,any,any,any,Central,any,any,any,Industrial Finance Corporation of India (IFCI) is the beneficiary.
Grants to NABARD to settle claims under Indo-Swiss Cooperation-VI,Department of Financial Services,Settles claims under Indo-Swiss Cooperation-VI for rural development projects.,https://www.myscheme.gov.in,none,none,any,any,null,NABARD,any,any,any,Central,any,any,any,NABARD acts as the implementing and claim-settlement agency.
Government Co-contribution to Atal Pension Yojana (APY),Department of Financial Services,Provides government co-contribution to eligible subscribers of APY to encourage pension savings among informal sector workers.,https://www.myscheme.gov.in,18,none,any,any,"₹27,000–1 Lakh",Informal sector workers,any,any,any,Central,any,any,any,APY subscribers aged 18–40 who are not income tax payers and meet scheme eligibility.
Loan Guarantee scheme for Covid Affected Sectors (LGscAS),Department of Financial Services,Provides guarantees for loans to sectors adversely affected by Covid-19 to facilitate their recovery.,https://www.myscheme.gov.in,none,none,any,any,null,Eligible borrowers in Covid-affected sectors,any,any,any,Central,any,any,any,Borrowers in sectors affected by Covid-19 as per LGscAS guidelines.
Pradhan Mantri Vaya Vandan Yojana (PMVVY),Department of Financial Services,Pension scheme for senior citizens providing guaranteed returns through LIC.,https://www.myscheme.gov.in,60,none,any,any,null,Retired / Senior Citizens,any,any,any,Central,any,any,any,Senior citizens aged 60+ investing through LIC within scheme period.
Pradhan Mantri Mudra Yojana (PMMY) (through NCGTC),Department of Financial Services,Provides refinance and guarantee support to banks and MFIs for lending to micro enterprises under Mudra Yojana.,https://www.myscheme.gov.in,none,none,any,any,null,Micro/small business owners,any,any,any,Central,any,any,any,"Enterprises under Shishu, Kishore, Tarun categories eligible via banks or MFIs."
Publicity and Awareness for PMMY and other initiatives by MUDRA Ltd.,Department of Financial Services,Funds publicity and awareness campaigns for Mudra Yojana to improve outreach and implementation.,https://www.myscheme.gov.in,none,none,any,any,null,MUDRA Ltd.,any,any,any,Central,any,any,any,MUDRA Ltd. as the sole implementing and awareness agency.
Credit Guarantee scheme for Micro Finance Institutions (CGSMFI),Department of Financial Services,Provides credit guarantee to MFIs to encourage lending to low-income households.,https://www.myscheme.gov.in,none,none,any,any,"Below ₹27,000",Micro Finance Institutions,any,any,any,Central,any,any,any,Registered MFIs under CGSMFI to serve low-income borrowers.
Subscription to Share Capital of Export-Import Bank of India,Department of Financial Services,Government equity subscription to EXIM Bank to enhance its capital for export financing.,https://www.myscheme.gov.in,none,none,any,any,null,EXIM Bank,any,any,any,Central,any,any,any,EXIM Bank is the direct recipient; not for public application.
Recapitalization of Insurance Companies,Department of Financial Services,Provides capital support to government-owned insurance companies to strengthen their solvency and operational viability.,https://www.myscheme.gov.in,none,none,any,any,null,Public Sector Insurance Companies,any,any,any,Central,any,any,any,Targeted at specific PSU insurance companies by government.
Issue of Bonus Shares,Department of Financial Services,Issue of bonus shares to recapitalised insurance companies to adjust shareholding structure post capital infusion.,https://www.myscheme.gov.in,none,none,any,any,null,Insurance Companies (Public Sector),any,any,any,Central,any,any,any,Internal recapitalisation measure for insurance firms.
Grants to ICICI Bank for Externally Aided Components,Department of Financial Services,Grants to ICICI Bank for handling externally aided project components.,https://www.myscheme.gov.in,none,none,any,any,null,ICICI Bank,any,any,any,Central,any,any,any,ICICI Bank is the executing agency; not a public scheme.
Contribution to Financial Inclusion Fund (FIF) of NABARD to promote Aadhar Enabled Payment System,Department of Financial Services,Supports initiatives under FIF to promote digital payments and Aadhar enabled banking services.,https://www.myscheme.gov.in,none,none,any,any,null,NABARD/ Banks/ Fintech Providers,any,any,any,Central,any,any,any,Institutional support via NABARD to promote AEPS; not for individuals.
Redemption of Securities issued to stressed Assets stabilisation Fund (SASF),Department of Financial Services,Repayment/redemption of government securities issued to SASF during bank restructuring.,https://www.myscheme.gov.in,none,none,any,any,null,SASF,any,any,any,Central,any,any,any,Internal fund transaction with SASF; not a citizen-facing scheme.
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) and Pradhan Mantri Suraksha Bima Yojana (PMSBY),Department of Financial Services,Provides life and accidental insurance coverage to eligible citizens at affordable premiums under social security schemes.,https://www.myscheme.gov.in,18,none,any,any,null,any,any,any,any,Central,any,any,any,Individuals with bank accounts aged 18–50 (PMJJBY) and 18–70 (PMSBY).
stand-Up India scheme,"Entrepreneurship, Loan",Credit guarantee support for sc/st and women entrepreneurs for greenfield businesses.,https://www.myscheme.gov.in,18,none,female,sc,null,Entrepreneur,no,any,any,Central,any,no,no,sc women entrepreneurs starting new businesses are eligible for credit guarantee support.
stand-Up India scheme,"Entrepreneurship, Loan",Credit guarantee support for sc/st and women entrepreneurs for greenfield businesses.,https://www.myscheme.gov.in,18,none,female,st,null,Entrepreneur,no,any,any,Central,any,no,no,st women entrepreneurs starting new businesses are eligible for credit guarantee support.
Publicity and Awareness for stand-Up India and other initiatives by SIDBI,Department of Financial Services,Funds awareness programmes for stand-Up India and related entrepreneurship initiatives.,https://www.myscheme.gov.in,none,none,any,any,null,SIDBI,any,any,any,Central,any,any,any,Public awareness component executed by SIDBI; not a beneficiary scheme.
Subsidy to SIDBI on Interest Subvention of 2% for Prompt Repayment of Shishu Loans,Department of Financial Services,Provides interest subvention incentive to SIDBI for Shishu category loans under PMMY to promote prompt repayment and reduce borrower burden.,https://www.myscheme.gov.in,none,none,any,any,null,Micro Enterprises (Shishu loans),any,any,any,Central,any,any,any,Shishu loan beneficiaries under PMMY via SIDBI get 2% interest subvention.
"Research, Development and Consultancy on Generic Issues Related to CPSEs and state Level Public Enterprises",Department of Public Enterprises,"Supports research, consultancy, and knowledge creation on policy, governance, and performance of CPSEs and state Enterprises.",https://www.myscheme.gov.in,none,none,any,any,null,Research Institutions/ Academia/ Think Tanks/ Consultants,any,any,any,Central,PG/PhD or Research Org,any,any,Institutions conducting approved research or consultancy commissioned by DPE.
Onetime Payment of Arrears,Indirect Taxes (Department of Revenue),Settlement of tax liabilities or arrears as per court/tribunal decisions or government settlement schemes.,https://www.myscheme.gov.in,none,none,any,any,null,Taxpayers/ Litigants,any,any,any,Central,any,any,any,Parties eligible under court/tribunal tax orders or notified tax dispute settlement schemes.
Remission of Duties and Taxes on Exported Products (RoDTEP),Indirect Taxes (Department of Revenue),Refunds embedded taxes not covered by other mechanisms to enhance export competitiveness.,https://www.myscheme.gov.in,none,none,any,any,null,Exporters (RoDTEP eligible products),any,any,any,Central,any,any,any,Exporters of notified goods eligible under RoDTEP; compliance with scheme and documentation needed.
Rebate on state and Central Taxes and Levies (RoscTL),Indirect Taxes / Ministry of Textiles,Refunds embedded levies in garment exports to boost global competitiveness.,https://www.myscheme.gov.in,none,none,any,any,null,Exporters (Garment & Made-ups),any,any,any,Central,any,any,any,Apparel & textile exporters registered under RoscTL and meeting documentation criteria.
Fisheries and Aquaculture Infrastructure Development Fund (FIDF),Department of Fisheries,"Provides long-term finance for fisheries infrastructure like harbours, hatcheries, cold chains, etc.",https://www.myscheme.gov.in,none,none,any,any,null,Entrepreneurs/ SHGs/ Cooperatives/ Fisheries Boards/ Govt bodies,any,any,any,Central,any,any,any,"state Govts, Cooperatives, SHGs, individuals & others approved by NABARD, NFDB, NCDC under FIDF guidelines."
